Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2.472,0.01183,-0.03975,0.98518,-2.13501,-0.06042,1.87888
2.476,0.00954,-0.0412,0.98328,-2.01416,-0.14099,1.71783
2.48,0.00862,-0.03784,0.98007,-1.67175,0.04028,1.85204
2.484,0.00923,-0.03853,0.98061,-1.2085,0.16113,1.8252
2.488,0.00854,-0.04044,0.98198,-0.80566,-0.12085,1.55679
2.492,0.00786,-0.03899,0.98236,-0.40283,-0.12085,1.62389
2.496,0.00877,-0.04097,0.98152,-0.14099,0.08057,1.61047
2.5,0.00801,-0.0386,0.97809,0.20142,-0.12085,1.62389
2.504,0.00771,-0.03906,0.97588,0.64453,-0.04028,1.57021
2.508,0.00816,-0.04021,0.97717,1.02722,0.06042,1.59705
2.512,0.00763,-0.03807,0.97679,1.5509,-0.10071,1.39574
2.516,0.0071,-0.03944,0.97755,1.99402,-0.02014,1.32864
